 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,FE_WT,TI_WT,CA_WT,SI_WT,AL_WT,MG_WT,NA_WT,O_WT,chi2
40.5408,21.2672,34.8572,21.1832,34.6818,22.0924,40.3446,22.2572,1.009725369,17.15963257,9.476458646,12.27415551,7.011214597,5.983146001,2.085667303,45,1.954945
40.9519,21.2556,35.2682,21.1704,35.0912,22.0849,40.7541,22.2525,1.000082017,17.10660597,12.42591725,10.9771306,6.169906183,5.542790582,1.777567398,45,2.146606
41.3628,21.2439,35.6792,21.1573,35.5006,22.0772,41.1635,22.2478,1.00005901,8.184440647,16.13056103,13.53010377,7.54282738,6.456554398,2.155453764,45,2.328551
41.7737,21.232,36.0902,21.1439,35.91,22.0693,41.5729,22.2431,1.000001499,9.009872589,16.07904692,12.99491577,7.495507636,6.226152046,2.194503539,45,2.528239
42.1846,21.2199,36.5011,21.1305,36.3193,22.0615,41.9822,22.2384,1.028572772,19.68364849,10.55114067,10.0608238,6.213001172,5.053774185,2.409038914,45,2.626019
42.5953,21.2077,36.9119,21.1171,36.7285,22.0537,42.3915,22.2337,1.564540339,19.23192346,11.38998129,9.571247295,5.908313754,4.922668025,2.411325834,45,2.679803
43.006,21.1954,37.3227,21.1032,37.1378,22.0457,42.8007,22.229,1.000001864,13.16689773,13.87759318,12.07809237,6.679717587,5.507400675,2.690296597,45,2.705098
43.4166,21.1829,37.7335,21.0893,37.547,22.0377,43.2098,22.2243,1.752150752,19.48851477,11.83144116,9.486337506,5.374818412,4.671068279,2.395669119,45,2.572621
43.8272,21.1702,38.1441,21.0753,37.9561,22.0297,43.6189,22.2196,1.732478516,19.14616393,13.37246946,8.950666604,5.038159174,4.456060239,2.304002075,45,2.563236
44.2377,21.1575,38.5547,21.061,38.3652,22.0216,44.0279,22.2149,2.293987672,19.99907017,12.80964307,8.442567108,5.00144089,4.133816925,2.319474165,45,2.614084
44.6482,21.1443,38.9652,21.0466,38.7742,22.0135,44.437,22.2101,1.971965458,19.94966838,12.98702616,8.596930691,5.000000935,4.070913828,2.423494547,45,2.796456
45.0586,21.131,39.3757,21.0321,39.1831,22.0054,44.8459,22.2053,1.867097867,19.37262521,13.79523519,8.675924153,5.000541052,4.023992009,2.26458452,45,2.892828
45.4688,21.1175,39.786,21.0173,39.5919,21.9973,45.2547,22.2004,2.176501355,19.99947021,12.90388762,8.651419916,5.000705161,4.060877084,2.20713865,45,2.894836
45.8792,21.1037,40.1964,21.0023,40.0008,21.9889,45.6636,22.1955,1.00003203,13.54339619,14.29003809,11.4185927,6.825469716,5.067132395,2.85533889,45,2.88374
46.2893,21.09,40.6067,20.9871,40.4097,21.9805,46.0723,22.1908,2.190459062,19.93023784,11.41808817,9.191517084,5.672959023,4.360319646,2.236419168,45,2.649793
46.6995,21.0759,41.017,20.9716,40.8185,21.972,46.4811,22.1859,2.145745174,19.68961742,12.30420821,8.914160171,5.413672441,4.293980694,2.238615887,45,2.629522
47.1095,21.0617,41.4272,20.956,41.2272,21.9635,46.8897,22.1811,1.127659633,19.97716847,14.21879225,8.478114874,5.1652742,4.093541137,1.939449435,45,2.357698
47.5197,21.0468,41.8372,20.9402,41.6358,21.955,47.2985,22.1759,1.002688249,6.824860548,19.1440755,12.66122002,7.544238249,5.414211567,2.408705862,45,2.19882
